RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_001/EQP_232_EX1,1107.0,7.4652213188798555,1.4618138243709249,0.0,False,9.609023118816539e-52,False,4.988385188741109e-13,WOW
STEP_001/EQP_232_EX2,1104.0,7.621376811594203,1.6790899801980326,0.0,False,9.609023118816539e-52,False,0.01705102174732165,WOW
STEP_001/EQP_233_EX1,1064.0,7.515977443609023,1.7317054447492166,0.0,False,9.609023118816539e-52,False,5.097146692656354e-08,WOW
STEP_001/EQP_233_EX2,1067.0,7.441424554826616,1.9556741506125153,0.0,False,9.609023118816539e-52,False,5.984430894403861e-10,WOW
STEP_001/EQP_234_EX1,874.0,7.565217391304348,1.8614010811107302,0.0,False,9.609023118816539e-52,False,0.00030184208293348796,WOW
STEP_001/EQP_234_EX2,883.0,7.619479048697622,1.2056861504477054,0.0,False,9.609023118816539e-52,False,0.0007391484629492215,WOW
STEP_001/EQP_235_EX1,573.0,7.844677137870855,1.3478656173747021,0.0,False,9.609023118816539e-52,False,0.20583544402469534,DUMMY
STEP_001/EQP_235_EX2,578.0,7.939446366782007,1.274248766239286,0.0,False,9.609023118816539e-52,False,0.00390917115456342,BOB
STEP_001/EQP_236_EX1,1141.0,7.922874671340929,2.461495225784451,0.0,False,9.609023118816539e-52,False,2.1842855591119972e-20,BOB
STEP_001/EQP_236_EX2,1151.0,7.850564726324935,2.3550680102665322,0.0,False,9.609023118816539e-52,False,8.594297163839551e-11,BOB
STEP_001/EQP_237_EX1,1344.0,7.799851190476191,1.3253808427900708,0.0,False,9.609023118816539e-52,False,1.0,DUMMY
STEP_001/EQP_237_EX2,1326.0,7.716440422322775,1.9166365190768824,0.0,False,9.609023118816539e-52,False,1.0,DUMMY
STEP_001/EQP_240_EX1,1001.0,7.691308691308691,2.30686245485386,0.0,False,9.609023118816539e-52,False,1.0,DUMMY
STEP_001/EQP_240_EX2,1011.0,7.832838773491592,2.1688044232838326,0.0,False,9.609023118816539e-52,False,1.0,DUMMY
STEP_002/EQP_128_2,435.0,7.347126436781609,2.8131455359717097,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_128_3,14.0,7.714285714285714,0.9138735334633754,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_128_4,426.0,7.438967136150235,2.448967679531115,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_133_2,417.0,7.808153477218226,1.0992264305496344,0.0,False,1.0263895079273607e-32,False,0.08418609614408662,DUMMY
STEP_002/EQP_133_3,463.0,7.734341252699784,1.2206058871639853,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_133_4,469.0,7.688699360341151,1.4009689157909286,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_134_2,929.0,7.523143164693218,1.9297334386781189,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_134_3,918.0,7.618736383442266,1.9029213992999352,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_134_4,751.0,7.837549933422104,1.560419213706153,0.0,False,1.0263895079273607e-32,False,0.049395673828313676,BOB
STEP_002/EQP_136_2,1405.0,7.919572953736655,1.7254405572626645,0.0,False,1.0263895079273607e-32,False,3.4445396670927564e-10,BOB
STEP_002/EQP_136_3,166.0,8.518072289156626,1.5441890744895566,0.0,False,1.0263895079273607e-32,False,1.503710400346145e-13,BOB
STEP_002/EQP_136_4,375.0,8.034666666666666,2.2977257608370625,0.0,False,1.0263895079273607e-32,False,2.8054950490139316e-09,BOB
